,position,Pref,P1,P2
0,0.0,0.0007839352417,6.801904818999999e-05,1.6621867600000003e-07
1,0.999969482421875,0.0007842515364,6.727845176e-05,1.659075563e-07
2,1.999969482421875,0.000785382837,6.661682199e-05,1.656759224e-07
3,3.0,0.0007850550056,6.570528202000001e-05,1.656009772e-07
4,4.0,0.0007798371486,6.446030312000001e-05,1.6562596270000002e-07
5,4.999969482421875,0.0007775653385,6.339106403e-05,1.6571453040000002e-07
6,6.0,0.0007783734006000001,6.259477887000001e-05,1.658144526e-07
7,7.0,0.0007795416341999999,6.177247489e-05,1.659734182e-07
8,7.999969482421875,0.000780074962,6.085112364e-05,1.6612103760000003e-07
9,9.0,0.0007834527002,6.0134262819999986e-05,1.662731819e-07
10,9.999969482421875,0.0007854313358,5.923459211000001e-05,1.6602565290000002e-07
11,10.999969482421875,0.0007836651114999999,5.805648289999999e-05,1.664253401e-07
12,12.0,0.0007816587808,5.679667229e-05,1.6590074950000002e-07
13,12.999969482421875,0.0007770504685999999,5.5358383900000006e-05,1.658598675e-07
14,13.999969482421875,0.0007758960886,5.415631240000001e-05,1.6593935169999998e-07
15,15.0,0.0007784842336,5.315439922e-05,1.6591210269999998e-07
16,15.999969482421875,0.0007782741042,5.196944367000001e-05,1.658167165e-07
17,16.999969482421875,0.0007796386024999999,5.085044542e-05,1.659507021e-07
18,17.99993896484375,0.0007817257253,4.975267656000001e-05,1.6597341519999999e-07
19,18.99993896484375,0.0007835427531,4.8619756519999996e-05,1.661096717e-07
20,19.999969482421875,0.0007813978882,4.721228177999999e-05,1.6592573079999999e-07
21,20.99993896484375,0.0007773460122000001,4.569525844e-05,1.6603927399999998e-07
22,21.99993896484375,0.0007768219046,4.444137884000001e-05,1.661641791e-07
23,22.999969482421875,0.0007774360478,4.324250147e-05,1.6604836190000003e-07
24,23.99993896484375,0.0007779716688,4.20034572e-05,1.658053661e-07
25,24.99993896484375,0.0007798925683,4.080435247e-05,1.662277669e-07
26,25.999908447265625,0.0007844177598,3.9758161790000005e-05,1.6589847139999996e-07
27,26.99993896484375,0.0007846394204,3.84504212e-05,1.65946166e-07
28,27.99993896484375,0.0007849510875,3.716801367e-05,1.6632087350000002e-07
29,28.999908447265625,0.0007812963158,3.571329507e-05,1.6619824090000002e-07
30,29.99993896484375,0.000779936451,3.4349408810000005e-05,1.661528259e-07
31,30.99993896484375,0.0007786481409000001,3.295996247e-05,1.649991759e-07
32,31.999908447265625,0.0007807214338000001,3.175104611e-05,1.653579901e-07
33,32.99993896484375,0.0007823190884999999,3.0563353530000005e-05,1.65155876e-07
34,33.999908447265625,0.0007851657982,2.9383420059999998e-05,1.6531257650000002e-07
35,34.999908447265625,0.0007853851596,2.8145059700000005e-05,1.649469469e-07
36,35.999908447265625,0.0007865603083000002,2.6899853399999998e-05,1.651990175e-07
37,36.9998779296875,0.0007855883334,2.567883968e-05,1.6526033590000002e-07
38,37.999908447265625,0.0007815595017,2.437726107e-05,1.654965219e-07
39,38.999908447265625,0.0007809753822,2.3166516620000002e-05,1.65308026e-07
40,39.9998779296875,0.0007813771197,2.200507043e-05,1.658689558e-07
41,40.999908447265625,0.0007827300460999999,2.088447509e-05,1.654965216e-07
42,41.9998779296875,0.0007849464775999999,1.9787389469999998e-05,1.6552830699999997e-07
43,42.9998779296875,0.0007867750244999999,1.870673442e-05,1.6541249009999997e-07
44,43.999908447265625,0.0007889591333,1.7643652230000003e-05,1.655555592e-07
45,44.9998779296875,0.0007867496172000001,1.65148418e-05,1.65512411e-07
46,45.9998779296875,0.0007830163523,1.540794018e-05,1.652853144e-07
47,46.999908447265625,0.000779384625,1.4323634410000002e-05,1.6569182289999997e-07
48,47.9998779296875,0.0007801742351,1.3344312529999999e-05,1.655601054e-07
49,48.9998779296875,0.0007816287807,1.242432945e-05,1.6561915e-07
50,49.999847412109375,0.0007841176410000001,1.153059311e-05,1.6558962549999998e-07
51,50.9998779296875,0.0007843923640999999,1.0638682200000001e-05,1.656759226e-07
52,51.9998779296875,0.0007855837232,9.783059159e-06,1.651649626e-07
53,52.999847412109375,0.0007849072398,8.937375969e-06,1.6486972909999998e-07
54,53.9998779296875,0.0007815433667999999,8.119124777e-06,1.6499008949999998e-07
55,54.9998779296875,0.0007783849375000001,7.336036926000001e-06,1.6510590930000002e-07
56,55.999847412109375,0.0007800726685000001,6.6320561459999995e-06,1.648084193e-07
57,56.999847412109375,0.0007793985016000001,5.9499214349999995e-06,1.654034039e-07
58,57.99981689453125,0.0007835358265,5.347235583e-06,1.651808561e-07
59,58.999847412109375,0.0007878994104,4.771412932e-06,1.6554647989999996e-07
60,59.999847412109375,0.0007887721176999998,4.205738150999999e-06,1.6496738619999998e-07
61,60.99981689453125,0.0007877585595,3.6767773740000004e-06,1.6535344970000002e-07
62,61.9998779296875,0.0007842284511000001,3.1863555030000006e-06,1.648765406e-07
63,62.999847412109375,0.0007810446609,2.736615897e-06,1.649878272e-07
64,63.99981689453125,0.0007792091812,2.345071925e-06,1.648016095e-07
65,64.99984741210938,0.0007808322550999999,2.004175575e-06,1.6500144830000003e-07
66,65.99981689453125,0.0007821251578,1.709115192e-06,1.6501961969999996e-07
67,66.9998779296875,0.0007863432986000001,1.461304589e-06,1.646789742e-07
68,67.99984741210938,0.0007864864252,1.2470385960000001e-06,1.650514151e-07
69,68.99981689453125,0.0007872714079,1.0778332910000002e-06,1.6510136619999998e-07
70,69.99984741210938,0.0007840368314,9.530956106e-07,1.6522172929999998e-07
